code,name,pe,pb,yield,time
1,CKH-HOLDINGS,4.981,0.427,5.664,2020-08-28 15:05:57
2,CLP-HOLDINGS,41.319,1.824,4.045,2020-08-28 15:06:00
3,HK-&-CHINA-GAS,28.622,3.105,3.021,2020-08-28 15:06:03
4,WHARF-HOLDINGS,13.771,0.327,1.797,2020-08-28 15:06:05
5,HSBC-HOLDINGS,14.831,0.493,2.289,2020-08-28 15:06:08
6,POWER-ASSETS,13.334,1.112,6.285,2020-08-28 15:06:10
7,HK-FINANCE-INV,3.669,0.676,0,2020-08-28 15:06:11
8,PCCW,55.341,2.419,6.612,2020-08-28 15:06:14
9,KEYNE-LTD,-0.741,0.306,0,2020-08-28 15:06:15
10,HANG-LUNG-GROUP,3.935,0.294,5.482,2020-08-28 15:06:16
11,HANG-SENG-BANK,9.739,1.33,5.868,2020-08-28 15:06:19
12,HENDERSON-LAND,8.889,0.471,5.769,2020-08-28 15:06:22
14,HYSAN-DEV,5.431,0.338,5.726,2020-08-28 15:06:24
15,VANTAGE-INT'L,-6.512,0.358,0,2020-08-28 15:06:27
16,SHK-PPT,6.657,0.528,4.797,2020-08-28 15:06:29
17,NEW-WORLD-DEV,5.75,0.467,4.988,2020-08-28 15:06:32
18,ORIENTAL-PRESS,-85,0.585,0,2020-08-28 15:06:33
19,SWIRE-PACIFIC-A,7.119,0.235,5.504,2020-08-28 15:06:35
20,WHEELOCK,13.689,0.469,2.569,2020-08-28 15:06:38
21,GREAT-CHI-PPT,-110,0.464,0,2020-08-28 15:06:41
22,MEXAN,-3.333,0.46,0,2020-08-28 15:06:42
23,BANK-OF-E-ASIA,19.597,0.466,2.911,2020-08-28 15:06:45
24,BURWILL,-3.227,0.441,0,2020-08-28 15:06:47
25,CHEVALIER-INT'L,5.561,0.327,5.295,2020-08-28 15:06:48
26,CHINA-MOTOR-BUS,3.143,0.433,21.762,2020-08-28 15:06:49
27,GALAXY-ENT,20.425,3.622,0.732,2020-08-28 15:06:51
28,TIAN-AN,4.513,0.25,4.963,2020-08-28 15:06:52
29,DYNAMIC-HOLD,62.233,1.458,0.673,2020-08-28 15:06:55
30,BAN-LOONG-HOLD,31.25,2.016,0,2020-08-28 15:06:58
31,CHINA-AEROSPACE,4.364,0.204,4.167,2020-08-28 15:06:59
32,CROSS-HAR(HOLD),5.328,0.528,4.038,2020-08-28 15:07:00
33,AMBER-HILL-FIN,-0.228,-0.795,0,2020-08-28 15:07:02
34,KOWLOON-DEV,4.601,0.416,8.142,2020-08-28 15:07:03
35,FE-CONSORT-INTL,15.871,0.524,7.724,2020-08-28 15:07:07
36,FE-HLDGS-INTL,-1.231,0.252,0,2020-08-28 15:07:09
37,FE-HOTELS,-3.487,0.28,0,2020-08-28 15:07:11
38,FIRST-TRACTOR,45,0.683,0,2020-08-28 15:07:12
39,CH-BEIDAHUANG,-1.49,0.281,0,2020-08-28 15:07:14
40,GOLD-PEAK,20.37,0.332,3.636,2020-08-28 15:07:18
41,GREAT-EAGLE-H,-40.252,0.197,14.74,2020-08-28 15:07:19
42,NE-ELECTRIC,-9.314,-6.597,0,2020-08-28 15:07:21
43,C.P.-POKPHAND,7.453,1.59,7.848,2020-08-28 15:07:23
45,HK&S-HOTELS,20.625,0.262,1.435,2020-08-28 15:07:26
46,COMPUTER-&-TECH,9.779,1.145,5.882,2020-08-28 15:07:28
47,HOP-HING-GROUP,4.833,1,5.172,2020-08-28 15:07:29
